	0	1	2	3
0	bad	used by	oliviaGuts	10
1	bad	used by	oliviaGutsSecret	0
2	bad	used by	oliviaSour	3
3	good	used by	oliviaGuts	12
4	good	used by	oliviaGutsSecret	4
5	good	used by	oliviaSour	15
6	la	used by	oliviaGuts	39
7	la	used by	oliviaGutsSecret	9
8	la	used by	oliviaSour	11
9	well	used by	oliviaGuts	6
10	well	used by	oliviaGutsSecret	3
11	well	used by	oliviaSour	0
12	same	used by	oliviaGuts	6
13	same	used by	oliviaGutsSecret	3
14	same	used by	oliviaSour	1
15	right	used by	oliviaGuts	18
16	right	used by	oliviaGutsSecret	6
17	right	used by	oliviaSour	0
18	more	used by	oliviaGuts	10
19	more	used by	oliviaGutsSecret	3
20	more	used by	oliviaSour	9
21	nice	used by	oliviaGuts	3
22	nice	used by	oliviaGutsSecret	2
23	nice	used by	oliviaSour	1
24	alone	used by	oliviaGuts	3
25	alone	used by	oliviaGutsSecret	0
26	alone	used by	oliviaSour	5
27	new	used by	oliviaGuts	8
28	new	used by	oliviaGutsSecret	2
29	new	used by	oliviaSour	12
30	sorry	used by	oliviaGuts	3
31	sorry	used by	oliviaGutsSecret	0
32	sorry	used by	oliviaSour	6
33	wrong	used by	oliviaGuts	5
34	wrong	used by	oliviaGutsSecret	1
35	wrong	used by	oliviaSour	4
36	happy	used by	oliviaGuts	5
37	happy	used by	oliviaGutsSecret	2
38	happy	used by	oliviaSour	11
39	cool	used by	oliviaGuts	2
40	cool	used by	oliviaGutsSecret	0
41	cool	used by	oliviaSour	3
42	little	used by	oliviaGuts	5
43	little	used by	oliviaGutsSecret	0
44	little	used by	oliviaSour	2
45	perfect	used by	oliviaGuts	7
46	perfect	used by	oliviaGutsSecret	2
47	perfect	used by	oliviaSour	4
48	True	used by	oliviaGuts	1
49	True	used by	oliviaGutsSecret	0
50	True	used by	oliviaSour	6
51	whole	used by	oliviaGuts	5
52	whole	used by	oliviaGutsSecret	1
53	whole	used by	oliviaSour	0
54	sure	used by	oliviaGuts	5
55	sure	used by	oliviaGutsSecret	1
56	sure	used by	oliviaSour	1
57	scared	used by	oliviaGuts	6
58	scared	used by	oliviaGutsSecret	6
59	scared	used by	oliviaSour	0
60	old	used by	oliviaGuts	22
61	old	used by	oliviaGutsSecret	6
62	old	used by	oliviaSour	4
63	sad	used by	oliviaGuts	4
64	sad	used by	oliviaGutsSecret	0
65	sad	used by	oliviaSour	0
66	cold	used by	oliviaGuts	2
67	cold	used by	oliviaGutsSecret	1
68	cold	used by	oliviaSour	0
69	enough	used by	oliviaGuts	10
70	enough	used by	oliviaGutsSecret	2
71	enough	used by	oliviaSour	6
72	okay	used by	oliviaGuts	0
73	okay	used by	oliviaGutsSecret	0
74	okay	used by	oliviaSour	6
75	worth	used by	oliviaGuts	4
76	worth	used by	oliviaGutsSecret	0
77	worth	used by	oliviaSour	0
78	only	used by	oliviaGuts	11
79	only	used by	oliviaGutsSecret	0
80	only	used by	oliviaSour	3
81	hard	used by	oliviaGuts	5
82	hard	used by	oliviaGutsSecret	3
83	hard	used by	oliviaSour	2
84	fine	used by	oliviaGuts	12
85	fine	used by	oliviaGutsSecret	3
86	fine	used by	oliviaSour	0
